event_cause,corridor,priority,requires_road_closure,police_station,hour_of_day,day_of_week,is_peak_hour,duration_min
vehicle_breakdown,ORR East 1,High,0,HAL Old Airport,20,0,0,12.8765419
test_demo,Non-corridor,Low,0,HSR Layout,21,1,0,2.3584172666666663
vehicle_breakdown,Non-corridor,Low,0,Malleshwaram,2,6,0,116.41837865
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,22,2,0,31.42447145
vehicle_breakdown,Tumkur Road,High,0,Peenya,19,5,1,30.706076783333334
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,7,4,1,32.77034728333334
vehicle_breakdown,Hosur Road,High,0,Madiwala,8,2,1,46.56802951666667
road_conditions,Non-corridor,Low,0,Whitefield,21,1,0,61.27697078333333
vehicle_breakdown,Non-corridor,Low,0,Jnanabharathi,20,2,0,24.450349916666667
vehicle_breakdown,Mysore Road,High,0,Chamarajpet,19,2,1,63.322104683333336
others,Bellary Road 1,High,0,Hebbala,3,5,0,28.6036425
construction,Non-corridor,Low,0,Mico Layout,5,3,0,274.00397273333334
vehicle_breakdown,Non-corridor,Low,0,Sheshadripuram,7,2,1,15.5910147
others,Non-corridor,Low,0,Hennuru,23,5,0,79.93364358333334
vehicle_breakdown,Bellary Road 2,High,0,Yelahanka,5,1,0,19.90768173333333
vehicle_breakdown,Mysore Road,High,0,Chamarajpet,21,3,0,41.14270663333333
tree_fall,Non-corridor,Low,1,Adugodi,3,3,0,215.32322236666667
vehicle_breakdown,Hosur Road,High,0,Madiwala,5,3,0,59.47093031666667
vehicle_breakdown,Hosur Road,High,0,Madiwala,5,5,0,107.0100683
vehicle_breakdown,Bellary Road 2,High,0,Yelahanka,3,6,0,74.82453056666667
vehicle_breakdown,Bellary Road 1,High,0,High ground,20,0,0,17.879924716666668
vehicle_breakdown,Non-corridor,Low,0,Sheshadripuram,4,3,0,44.15008491666666
others,Mysore Road,High,0,Byatarayanapura,4,2,0,121.99925558333332
vehicle_breakdown,ORR North 2,High,0,Jalahalli,7,3,1,123.6661835
tree_fall,Non-corridor,Low,0,Peenya,21,2,0,92.98989458333334
pot_holes,Non-corridor,Low,0,Whitefield,22,3,0,9.021900033333331
water_logging,Mysore Road,High,0,Chamarajpet,7,2,1,41.50739275
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,2,1,0,90.33891258333333
vehicle_breakdown,Varthur Road,High,0,HAL Old Airport,4,3,0,11.0878252
vehicle_breakdown,Non-corridor,Low,0,K.R. Pura,6,2,0,26.185454216666667
others,Bellary Road 1,High,0,High ground,7,1,1,4.012004933333333
tree_fall,Non-corridor,Low,0,R.T. Nagar,21,3,0,8.620181266666666
vehicle_breakdown,Bellary Road 2,High,0,Yelahanka,4,5,0,53.11047366666666
vehicle_breakdown,Non-corridor,Low,1,High ground,2,4,0,27.657876616666663
vehicle_breakdown,Old Madras Road,High,0,Jeevanbheemanagar,21,0,0,29.915713316666665
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,3,4,0,71.66411911666667
vehicle_breakdown,West of Chord Road,High,0,Magadi Road,19,2,1,25.0307267
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,2,0,0,32.21089145
vehicle_breakdown,ORR East 2,High,0,Mahadevapura,21,4,0,49.72056991666667
accident,ORR North 1,High,0,Banaswadi,20,1,0,41.37271345
vehicle_breakdown,Non-corridor,Low,0,City Market,0,4,0,9.065334083333331
vehicle_breakdown,Non-corridor,Low,0,Jayanagara,23,6,0,66.43240593333333
vehicle_breakdown,Mysore Road,High,0,Halasuru Gate,5,6,0,9.91719885
others,Bannerghata Road,High,0,Hulimavu,5,3,0,119.5907288
water_logging,ORR North 2,High,0,Jalahalli,6,5,0,106.64748336666666
vehicle_breakdown,ORR North 1,High,0,Hebbala,2,2,0,42.808710616666666
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,23,0,0,25.483353933333333
vehicle_breakdown,Magadi Road,High,0,Magadi Road,4,5,0,60.88455116666667
vehicle_breakdown,Non-corridor,Low,0,High ground,3,4,0,69.60687666666666
vehicle_breakdown,CBD 1,High,0,Shivajinagar,20,4,0,64.51499301666666
vehicle_breakdown,Bellary Road 1,High,0,Kodigehalli,9,5,1,10.859754400000002
vehicle_breakdown,Non-corridor,Low,0,Sheshadripuram,21,6,0,43.90706536666666
vehicle_breakdown,Non-corridor,Low,1,K.R. Pura,19,5,1,32.0253361
vehicle_breakdown,Non-corridor,Low,0,Jalahalli,6,3,0,78.09253493333334
vehicle_breakdown,West of Chord Road,High,0,Vijayanagara,5,0,0,52.70662574999999
water_logging,Mysore Road,High,1,Halasuru Gate,6,5,0,102.53868266666667
vehicle_breakdown,ORR North 2,High,0,Jalahalli,5,6,0,11.609703566666669
vehicle_breakdown,ORR East 1,High,0,Bellandur,21,0,0,1.2778825666666669
vehicle_breakdown,Bellary Road 2,High,0,Hebbala,22,6,0,116.95864045
vehicle_breakdown,Bellary Road 1,High,0,High ground,6,4,0,52.19419608333333
others,Tumkur Road,High,0,Peenya,12,6,0,355.29140055
vehicle_breakdown,Non-corridor,Low,0,Halasuru Gate,1,4,0,39.06277933333333
vehicle_breakdown,Bellary Road 2,High,0,Yelahanka,2,3,0,54.96849251666666
vehicle_breakdown,Mysore Road,High,1,Halasuru Gate,6,3,0,6.048961883333333
vehicle_breakdown,Non-corridor,Low,0,Whitefield,18,1,1,30.11519236666667
tree_fall,Non-corridor,Low,0,Magadi Road,7,5,1,63.193024916666666
congestion,Hennur Main Road,High,0,Hennuru,4,4,0,136.03228926666668
vehicle_breakdown,Non-corridor,Low,0,Whitefield,4,2,0,13.8765319
others,Non-corridor,Low,1,Rajajinagar,4,3,0,51.695509916666666
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,7,2,1,12.384581016666669
accident,Tumkur Road,High,0,Peenya,6,0,0,23.807276100000003
vehicle_breakdown,Old Madras Road,High,0,Jeevanbheemanagar,4,3,0,65.22508308333333
vehicle_breakdown,Mysore Road,High,0,Chamarajpet,9,5,1,22.789760966666663
vehicle_breakdown,Non-corridor,Low,0,High ground,3,5,0,120.1229665
vehicle_breakdown,Non-corridor,Low,0,Sheshadripuram,7,4,1,48.24556945
vehicle_breakdown,Non-corridor,Low,0,K.R. Pura,7,1,1,109.74121628333334
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,18,5,1,66.27881596666667
vehicle_breakdown,Non-corridor,Low,0,Kodigehalli,7,3,1,51.74567765
accident,Hosur Road,High,0,Electronic City,23,0,0,33.47683516666667
vehicle_breakdown,Mysore Road,High,0,Ashok Nagar,6,0,0,14.00793095
vehicle_breakdown,Non-corridor,Low,0,HAL Old Airport,20,2,0,63.46751803333333
vehicle_breakdown,ORR West 1,High,0,J.P. Nagar,20,4,0,54.41555578333334
vehicle_breakdown,West of Chord Road,High,0,Vijayanagara,5,1,0,61.66422065
vehicle_breakdown,Non-corridor,Low,0,Jnanabharathi,0,3,0,11.80107465
vehicle_breakdown,ORR North 1,High,0,Banaswadi,17,5,1,80.29286535
congestion,Non-corridor,Low,0,Halasuru Gate,7,4,1,125.9162801
vehicle_breakdown,Magadi Road,High,0,Magadi Road,1,4,0,24.50433823333333
vehicle_breakdown,Non-corridor,Low,0,Jnanabharathi,1,3,0,48.84292761666666
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,23,0,0,8.331595366666667
vehicle_breakdown,ORR North 1,High,0,Banaswadi,3,1,0,27.495784800000003
vehicle_breakdown,Non-corridor,Low,0,Electronic City,19,1,1,18.72494986666667
congestion,ORR North 1,High,0,Hennuru,1,2,0,52.42753255
vehicle_breakdown,Hosur Road,High,0,Electronic City,8,6,1,59.55044333333333
accident,Non-corridor,Low,0,Jnanabharathi,23,4,0,73.76595049999999
vehicle_breakdown,Non-corridor,Low,0,Jnanabharathi,2,5,0,161.71242263333335
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,19,2,1,78.09311583333333
others,Old Madras Road,High,0,Shivajinagar,7,5,1,75.93873236666667
accident,Tumkur Road,High,0,Peenya,20,3,0,36.67476746666667
vehicle_breakdown,Non-corridor,Low,0,Halasuru Gate,22,1,0,36.436371050000005
accident,Non-corridor,Low,0,Thalagattapura,4,1,0,22.614246416666667
accident,Non-corridor,Low,0,Halasuru Gate,4,1,0,30.651319966666662
vehicle_breakdown,Bellary Road 1,High,0,R.T. Nagar,6,3,0,12.675188133333334
others,Mysore Road,High,0,Byatarayanapura,18,5,1,302.99378225
water_logging,Bellary Road 2,High,0,Yelahanka,2,4,0,402.88345245
vehicle_breakdown,Mysore Road,High,0,Ashok Nagar,0,2,0,64.40976768333333
vehicle_breakdown,Bellary Road 1,High,0,Sadashivanagar,22,1,0,15.27002655
vehicle_breakdown,Non-corridor,Low,1,Halasur,7,3,1,21.26601733333333
vehicle_breakdown,Non-corridor,Low,0,Cubbon Park,19,4,1,57.63663505
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,19,6,1,107.40422818333332
vehicle_breakdown,Non-corridor,Low,0,Whitefield,1,4,0,107.99300908333332
vehicle_breakdown,Non-corridor,Low,0,Halasur,0,3,0,42.75810368333334
vehicle_breakdown,Tumkur Road,High,0,Peenya,20,1,0,10.195782266666669
vehicle_breakdown,Non-corridor,Low,0,Wilson Garden,1,5,0,41.03490251666666
vehicle_breakdown,Non-corridor,Low,0,Cubbon Park,8,1,1,18.1132444
vehicle_breakdown,Non-corridor,Low,0,City Market,7,2,1,60.6943697
congestion,Hennur Main Road,High,0,Hennuru,5,1,0,115.77675745
tree_fall,Non-corridor,Low,0,City Market,10,5,0,412.24392695
vehicle_breakdown,Non-corridor,Low,0,High ground,6,6,0,101.95200981666667
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,1,5,0,21.802958333333333
vehicle_breakdown,Non-corridor,Low,0,Jalahalli,6,1,0,55.27947091666667
vehicle_breakdown,Old Madras Road,High,0,Jeevanbheemanagar,5,2,0,10.712838766666666
vehicle_breakdown,Bellary Road 1,High,0,Kodigehalli,5,4,0,36.82487128333333
vehicle_breakdown,ORR North 2,High,0,Jalahalli,3,0,0,90.19006885
others,Old Madras Road,High,0,Shivajinagar,20,0,0,108.49235771666666
others,Non-corridor,Low,0,Peenya,20,2,0,187.7209152833333
others,Non-corridor,Low,1,Upparpet,7,5,1,56.71689196666667
vehicle_breakdown,Hosur Road,High,0,Madiwala,21,4,0,46.13815655
vehicle_breakdown,Bellary Road 2,High,1,Yelahanka,23,1,0,69.21877518333334
vehicle_breakdown,Bellary Road 2,High,0,Yelahanka,10,3,0,45.69163531666666
vehicle_breakdown,Non-corridor,Low,0,Halasuru Gate,4,3,0,13.885744066666666
vehicle_breakdown,Non-corridor,Low,0,Peenya,3,1,0,63.04091908333333
accident,Bellary Road 2,High,0,Yelahanka,16,1,0,61.15111423333334
vehicle_breakdown,Tumkur Road,High,0,Peenya,2,6,0,44.7709926
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,23,0,0,20.760291183333333
vehicle_breakdown,Non-corridor,Low,0,Devanahalli Airport,2,4,0,10.310373033333333
vehicle_breakdown,ORR West 1,High,0,Byatarayanapura,22,6,0,39.40781505
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,18,5,1,118.72338911666668
vehicle_breakdown,Old Madras Road,High,0,Shivajinagar,6,6,0,108.22453145
vehicle_breakdown,Non-corridor,Low,0,Sadashivanagar,5,4,0,30.14560906666667
vehicle_breakdown,ORR North 1,High,0,Banaswadi,4,5,0,91.35186411666668
vehicle_breakdown,ORR North 2,High,0,Jalahalli,19,4,1,10.677372616666666
vehicle_breakdown,ORR North 1,High,0,Banaswadi,4,6,0,71.77608031666666
accident,Non-corridor,Low,0,Rajajinagar,19,6,1,15.379208666666669
vehicle_breakdown,Non-corridor,Low,0,Jayanagara,7,3,1,66.91385481666667
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,19,5,1,7.529350916666667
water_logging,ORR West 1,High,0,K.S. Layout,3,5,0,245.19777885
vehicle_breakdown,CBD 2,High,0,Shivajinagar,4,3,0,62.13714908333333
vehicle_breakdown,Bellary Road 1,High,0,Sadashivanagar,1,4,0,33.71249048333333
vehicle_breakdown,Bannerghata Road,High,0,Mico Layout,2,0,0,10.48741705
others,Non-corridor,Low,0,Whitefield,2,3,0,99.64480833333332
vehicle_breakdown,Old Madras Road,High,0,Jeevanbheemanagar,18,0,1,37.8463379
others,Mysore Road,High,0,Byatarayanapura,1,3,0,6.82868555
vehicle_breakdown,Non-corridor,Low,0,Pulikeshinagar(F.Town),23,1,0,99.77792416666666
vehicle_breakdown,ORR West 1,High,0,Banashankari,7,3,1,47.0778124
procession,Non-corridor,Low,0,Bellandur,2,2,0,3.013913733333333
vehicle_breakdown,Non-corridor,Low,0,Sadashivanagar,0,0,0,16.525977933333333
vehicle_breakdown,Bannerghata Road,High,0,Mico Layout,2,6,0,25.582617383333336
others,Bellary Road 2,High,0,Yelahanka,23,5,0,7.651399833333333
vehicle_breakdown,Non-corridor,Low,0,Chamarajpet,3,1,0,44.57315223333333
construction,Non-corridor,Low,0,Hennuru,19,2,1,295.5893642333333
vehicle_breakdown,Non-corridor,Low,0,Wilson Garden,5,5,0,87.37563088333333
vehicle_breakdown,ORR North 2,High,0,Jalahalli,9,6,1,59.8490193
road_conditions,Mysore Road,High,0,Halasuru Gate,20,4,0,270.9179471333333
tree_fall,West of Chord Road,High,0,Malleshwaram,4,1,0,72.68515286666667
vehicle_breakdown,Non-corridor,Low,0,Wilson Garden,2,5,0,69.83975466666668
vehicle_breakdown,Mysore Road,High,0,Halasuru Gate,0,2,0,16.146346233333333
accident,ORR North 2,High,0,Kodigehalli,19,3,1,52.3450849
accident,ORR North 1,High,0,Banaswadi,10,3,0,52.03779613333334
vehicle_breakdown,Non-corridor,Low,0,Pulikeshinagar(F.Town),20,5,0,109.45861035
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,6,3,0,112.81719833333334
vehicle_breakdown,Non-corridor,Low,0,Chamarajpet,1,2,0,26.158530816666666
vehicle_breakdown,Non-corridor,Low,0,Electronic City,4,6,0,82.94842686666667
tree_fall,Non-corridor,Low,0,Jayanagara,19,4,1,48.95543648333333
vehicle_breakdown,Bellary Road 1,High,0,Sadashivanagar,5,5,0,94.6911131
vehicle_breakdown,Non-corridor,Low,0,HAL Old Airport,19,0,1,2.4556867833333333
water_logging,Non-corridor,Low,1,Ashok Nagar,6,3,0,149.96828003333334
procession,Non-corridor,Low,0,Hebbala,5,0,0,58.20283951666667
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,20,0,0,99.55250775
vehicle_breakdown,Old Madras Road,High,0,Halasur,2,2,0,18.148097683333333
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,21,5,0,86.55830583333334
vehicle_breakdown,Mysore Road,High,1,Halasuru Gate,7,6,1,6.22358535
accident,Tumkur Road,High,0,Peenya,5,6,0,26.873762566666667
vehicle_breakdown,Airport New South Road,High,0,K.G. Halli,2,3,0,100.85719166666668
vehicle_breakdown,Mysore Road,High,0,Halasuru Gate,6,6,0,103.61959628333334
vehicle_breakdown,Mysore Road,High,0,Ashok Nagar,4,4,0,52.991312916666665
vehicle_breakdown,Mysore Road,High,0,Halasuru Gate,4,3,0,11.579319183333332
vehicle_breakdown,Tumkur Road,High,0,Peenya,4,3,0,54.30541788333333
vehicle_breakdown,Non-corridor,Low,0,Devanahalli Airport,5,1,0,58.11503883333333
tree_fall,Non-corridor,Low,0,Wilson Garden,7,4,1,62.6290118
vehicle_breakdown,Non-corridor,Low,0,Jnanabharathi,21,3,0,18.74359438333333
vehicle_breakdown,Non-corridor,Low,0,Banaswadi,0,1,0,38.49233733333333
tree_fall,Non-corridor,Low,1,Jayanagara,21,4,0,300.69633755
construction,Non-corridor,Low,1,Yeshwanthpura,23,4,0,212.49775946666665
vehicle_breakdown,Non-corridor,Low,0,V.V.Puram (C.Pet),6,0,0,25.56185143333333
others,Magadi Road,High,0,Kamakshipalya,5,5,0,14.85765895
vehicle_breakdown,Bellary Road 1,High,0,Hebbala,4,6,0,25.16234988333333
vehicle_breakdown,ORR West 1,High,0,Banashankari,3,3,0,9.589169683333331
vehicle_breakdown,Non-corridor,Low,0,Jayanagara,4,3,0,25.71718945
vehicle_breakdown,Bellary Road 1,High,0,Sadashivanagar,22,3,0,71.08655019999999
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,20,1,0,6.759156316666666
water_logging,Non-corridor,Low,0,Sheshadripuram,5,1,0,230.7993599
vehicle_breakdown,Non-corridor,Low,0,V.V.Puram (C.Pet),5,6,0,30.275829366666667
vehicle_breakdown,ORR East 1,High,0,HAL Old Airport,23,1,0,10.513486133333334
vehicle_breakdown,Non-corridor,Low,0,Upparpet,4,5,0,50.2345196
others,Bellary Road 1,High,1,Sadashivanagar,1,1,0,75.32430751666668
construction,Bellary Road 2,High,0,Yelahanka,23,5,0,146.81543166666668
vehicle_breakdown,Non-corridor,Low,0,Peenya,21,3,0,29.97115595
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,22,0,0,141.42639348333333
vehicle_breakdown,Non-corridor,Low,0,K.R. Pura,2,6,0,123.76114395
tree_fall,Non-corridor,Low,1,Wilson Garden,8,4,1,16.979280016666667
vehicle_breakdown,Hosur Road,High,0,Madiwala,20,6,0,32.954886933333334
vehicle_breakdown,Bellary Road 2,High,0,Yelahanka,5,5,0,44.61752728333333
vehicle_breakdown,Non-corridor,Low,0,Electronic City,20,4,0,45.58134771666666
vehicle_breakdown,Non-corridor,Low,0,High ground,5,1,0,37.32267656666667
vehicle_breakdown,Non-corridor,Low,0,V.V.Puram (C.Pet),1,4,0,30.303397416666662
vehicle_breakdown,ORR North 1,High,0,Banaswadi,21,1,0,34.82160695
vehicle_breakdown,Hosur Road,High,1,Ashok Nagar,6,2,0,113.5855103
others,Non-corridor,Low,0,Sadashivanagar,2,2,0,88.10845821666666
vehicle_breakdown,ORR West 1,High,0,Banashankari,2,3,0,82.4944742
vehicle_breakdown,Tumkur Road,High,0,Peenya,11,3,0,26.296394516666663
others,Non-corridor,Low,0,Electronic City,4,5,0,31.145576100000003
vehicle_breakdown,Mysore Road,High,0,Chamarajpet,8,6,1,19.045456016666662
vehicle_breakdown,Bannerghata Road,High,0,Hulimavu,5,6,0,70.00420463333333
vehicle_breakdown,Old Madras Road,High,0,Jeevanbheemanagar,20,1,0,6.507784116666667
construction,Non-corridor,Low,0,Hennuru,20,2,0,365.8770966
procession,Non-corridor,Low,0,Madiwala,8,6,1,36.53795035
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,23,2,0,66.48960311666666
water_logging,Mysore Road,High,1,Halasuru Gate,4,1,0,77.6084918
vehicle_breakdown,Non-corridor,Low,0,Vijayanagara,23,1,0,50.19797263333333
vehicle_breakdown,ORR North 1,High,0,Banaswadi,19,4,1,144.15670458333335
vehicle_breakdown,Non-corridor,Low,0,Whitefield,20,2,0,90.77372385
vehicle_breakdown,Tumkur Road,High,0,Peenya,23,0,0,17.136627316666665
others,Non-corridor,Low,0,Peenya,23,1,0,15.814499816666666
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,9,2,1,5.572158416666666
vehicle_breakdown,Non-corridor,Low,0,Jnanabharathi,21,5,0,32.68535996666667
vehicle_breakdown,ORR North 1,High,0,Hebbala,0,3,0,19.14146123333333
vehicle_breakdown,ORR East 1,High,0,Madiwala,22,5,0,47.78352503333333
vehicle_breakdown,ORR North 1,High,0,K.G. Halli,7,0,1,40.7617855
vehicle_breakdown,Mysore Road,High,0,Halasuru Gate,2,1,0,11.709120233333334
vehicle_breakdown,Bellary Road 2,High,0,Yelahanka,3,2,0,42.82857215
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,5,1,0,70.84300005
vehicle_breakdown,ORR North 1,High,0,Banaswadi,6,5,0,109.08034831666669
others,ORR North 2,High,0,Jalahalli,11,5,0,425.97661755
water_logging,Mysore Road,High,0,Chamarajpet,4,1,0,25.36718933333333
vehicle_breakdown,Non-corridor,Low,0,Sheshadripuram,6,5,0,12.038919366666669
vehicle_breakdown,Non-corridor,Low,0,Kamakshipalya,4,0,0,9.313865683333336
vehicle_breakdown,Hosur Road,High,0,Electronic City,20,6,0,88.63287516666666
others,Non-corridor,Low,0,Ashok Nagar,19,3,1,203.8280376
vehicle_breakdown,Mysore Road,High,0,Chamarajpet,5,4,0,79.44030501666666
others,Old Madras Road,High,0,Ashok Nagar,2,3,0,49.59777256666666
vehicle_breakdown,Bellary Road 1,High,0,High ground,19,2,1,5.4551318
vehicle_breakdown,Bellary Road 1,High,0,Sadashivanagar,5,1,0,136.31685245
vehicle_breakdown,Non-corridor,Low,0,Jalahalli,9,4,1,52.7526632
others,Non-corridor,Low,0,Wilson Garden,20,0,0,235.79430155
vehicle_breakdown,Mysore Road,High,0,City Market,20,5,0,28.7881664
vehicle_breakdown,Non-corridor,Low,0,Adugodi,4,6,0,50.05725543333333
accident,Mysore Road,High,0,Halasuru Gate,5,6,0,32.826353266666665
vehicle_breakdown,Old Madras Road,High,0,Jeevanbheemanagar,0,6,0,3.140068266666667
others,Non-corridor,Low,0,Upparpet,0,5,0,18.232261750000003
others,Non-corridor,Low,0,Whitefield,3,4,0,87.31756581666667
vehicle_breakdown,ORR East 1,High,0,Bellandur,3,5,0,30.649880516666663
vehicle_breakdown,ORR West 1,High,0,Byatarayanapura,8,3,1,17.198798399999998
vehicle_breakdown,Mysore Road,High,0,Ashok Nagar,5,2,0,125.653309
tree_fall,Non-corridor,Low,0,Pulikeshinagar(F.Town),22,4,0,40.36682893333333
others,Mysore Road,High,0,Jnanabharathi,20,5,0,36.87994801666667
vehicle_breakdown,Non-corridor,Low,0,Mahadevapura,4,2,0,11.605493183333332
others,Old Airport Road,High,0,HAL Old Airport,13,6,0,1.6053822999999998
vehicle_breakdown,Bannerghata Road,High,0,Mico Layout,8,4,1,29.872228166666662
vehicle_breakdown,Non-corridor,Low,0,K.R. Pura,2,0,0,133.49633208333333
vehicle_breakdown,ORR West 1,High,0,Banashankari,6,2,0,56.04167118333333
vehicle_breakdown,Non-corridor,Low,0,Jnanabharathi,6,1,0,92.59100211666669
vehicle_breakdown,Varthur Road,High,0,Whitefield,5,5,0,54.53153316666667
vehicle_breakdown,Non-corridor,Low,0,Sadashivanagar,22,5,0,38.57169646666667
vehicle_breakdown,Tumkur Road,High,0,Yeshwanthpura,21,0,0,18.087688816666667
vehicle_breakdown,West of Chord Road,High,0,Byatarayanapura,18,5,1,35.05276381666667
others,ORR North 2,High,0,Jalahalli,22,1,0,83.9909704
vehicle_breakdown,ORR North 1,High,0,Hebbala,7,4,1,29.929127866666665
vehicle_breakdown,Tumkur Road,High,0,Peenya,1,6,0,11.41129385
others,Mysore Road,High,0,Byatarayanapura,23,6,0,16.937478916666667
vehicle_breakdown,Bellary Road 1,High,0,Sadashivanagar,5,2,0,165.32164101666666
vehicle_breakdown,Non-corridor,Low,0,Devanahalli Airport,20,5,0,107.3207998
others,Magadi Road,High,0,Kamakshipalya,0,3,0,77.66299434999999
vehicle_breakdown,Magadi Road,High,0,Kamakshipalya,5,4,0,25.32166708333333
vehicle_breakdown,ORR East 1,High,0,HAL Old Airport,2,5,0,20.836302666666665
vehicle_breakdown,Hosur Road,High,0,Electronic City,5,4,0,24.13871885
vehicle_breakdown,ORR East 2,High,0,Banaswadi,1,1,0,6.547450666666666
vehicle_breakdown,Bellary Road 1,High,0,Sadashivanagar,1,6,0,62.002885516666666
vehicle_breakdown,ORR West 1,High,0,K.S. Layout,4,3,0,96.0197339
vehicle_breakdown,Non-corridor,Low,0,Halasuru Gate,19,2,1,20.751736666666663
vehicle_breakdown,ORR West 1,High,0,Banashankari,1,3,0,22.5418809
vehicle_breakdown,Mysore Road,High,0,Chamarajpet,22,6,0,18.0877439
vehicle_breakdown,Non-corridor,Low,0,K.R. Pura,22,5,0,14.166123566666666
tree_fall,Non-corridor,Low,1,Basavanagudi,21,1,0,173.99265736666666
accident,Bellary Road 2,High,0,Yelahanka,0,2,0,38.39330155
vehicle_breakdown,Bellary Road 1,High,0,Sadashivanagar,2,2,0,153.29203903333334
vehicle_breakdown,CBD 2,High,0,Cubbon Park,3,6,0,6.410764866666667
vehicle_breakdown,Non-corridor,Low,0,Kamakshipalya,21,0,0,52.71905041666666
accident,Non-corridor,Low,0,Chikkajala,23,0,0,43.29526675
vehicle_breakdown,Old Madras Road,High,0,Halasur,0,2,0,58.26014678333333
vehicle_breakdown,ORR North 1,High,0,Mahadevapura,18,4,1,28.23675073333333
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,20,0,0,146.97563921666668
vehicle_breakdown,Non-corridor,Low,0,Madiwala,23,5,0,26.454950033333333
vehicle_breakdown,Non-corridor,Low,0,High ground,21,6,0,42.935636433333336
vehicle_breakdown,Varthur Road,High,0,Whitefield,4,2,0,139.90008856666665
vehicle_breakdown,ORR North 1,High,0,Banaswadi,19,1,1,76.73107366666666
vehicle_breakdown,ORR East 2,High,0,HAL Old Airport,1,5,0,92.36745463333334
vehicle_breakdown,Bellary Road 2,High,0,Yelahanka,18,2,1,25.2987684
others,Magadi Road,High,0,Kamakshipalya,5,4,0,143.69155221666668
vehicle_breakdown,Mysore Road,High,0,Byatarayanapura,19,2,1,6.084086783333333
vehicle_breakdown,Non-corridor,Low,0,Rajajinagar,3,6,0,33.289917816666666
vehicle_breakdown,ORR West 1,High,0,K.S. Layout,5,5,0,75.37487433333334
vehicle_breakdown,Bellary Road 2,High,0,Yelahanka,19,2,1,7.866056400000001
