id,description,event_cause,priority,police_station,corridor
FKID003104,ಟ್ರಾಫಿಕ್ ನಾರ್ಮಲ್ ಸರ್,vehicle_breakdown,Low,Kamakshipalya,Non-corridor
FKID006231,LGV Breakdown at [LOCATION],vehicle_breakdown,Low,Yelahanka,Non-corridor
FKID000230,break down,vehicle_breakdown,Low,High ground,Non-corridor
FKID000374,break down,vehicle_breakdown,High,Rajajinagar,West of Chord Road
FKID000402,Break down,vehicle_breakdown,Low,Jnanabharathi,Non-corridor
FKID000446,Break down,vehicle_breakdown,Low,Cubbon Park,Non-corridor
FKID000549,break down,vehicle_breakdown,High,Hebbala,Bellary Road 1
FKID001470,break down,vehicle_breakdown,High,Jalahalli,ORR North 2
FKID001538,break down,vehicle_breakdown,High,Byatarayanapura,Mysore Road
FKID001571,break down,vehicle_breakdown,Low,Jnanabharathi,Non-corridor
FKID001642,break down,vehicle_breakdown,High,Jalahalli,ORR North 2
FKID001768,break down,vehicle_breakdown,Low,K.R. Pura,Non-corridor
FKID001769,break down,accident,High,Jalahalli,ORR North 2
FKID001771,break down,vehicle_breakdown,Low,K.R. Pura,Non-corridor
FKID001782,break down,vehicle_breakdown,High,Yeshwanthpura,ORR North 2
FKID001802,break down,vehicle_breakdown,Low,Byatarayanapura,Non-corridor
FKID001839,break down,vehicle_breakdown,High,Jalahalli,ORR North 2
FKID001845,break down,vehicle_breakdown,High,Yeshwanthpura,ORR North 2
FKID001993,break down,vehicle_breakdown,High,Byatarayanapura,ORR West 1
FKID002135,break down,vehicle_breakdown,Low,Chamarajpet,Non-corridor
FKID002228,break down,vehicle_breakdown,High,Rajajinagar,West of Chord Road
FKID002904,break down,vehicle_breakdown,Low,K.R. Pura,Non-corridor
FKID002957,break down,vehicle_breakdown,High,Sadashivanagar,Bellary Road 1
FKID003086,break down,vehicle_breakdown,High,Magadi Road,Mysore Road
FKID003225,break down,vehicle_breakdown,Low,Sadashivanagar,Non-corridor
FKID003418,break down,vehicle_breakdown,Low,Wilson Garden,Non-corridor
FKID003887,break down,vehicle_breakdown,High,Kodigehalli,Bellary Road 1
FKID004048,break down,vehicle_breakdown,High,Byatarayanapura,West of Chord Road
FKID004190,Break down,vehicle_breakdown,Low,No Police Station,Non-corridor
FKID004268,Break down,vehicle_breakdown,High,R.T. Nagar,Bellary Road 1
FKID004291,Break down,vehicle_breakdown,Low,Bellandur,Non-corridor
FKID004690,Break down,vehicle_breakdown,High,Kodigehalli,ORR North 2
FKID005455,Break down,vehicle_breakdown,High,High ground,Bellary Road 1
FKID005475,Break down,vehicle_breakdown,Low,Jeevanbheemanagar,Non-corridor
FKID005512,Break down,vehicle_breakdown,Low,Jnanabharathi,Non-corridor
FKID006081,Break down,vehicle_breakdown,High,Ashok Nagar,Mysore Road
FKID006252,Break down,vehicle_breakdown,High,Kamakshipalya,Magadi Road
FKID006254,Break down,vehicle_breakdown,Low,Devanahalli Airport,Non-corridor
FKID006335,Break down,vehicle_breakdown,High,Magadi Road,Mysore Road
FKID006815,Break down,construction,High,Bellandur,ORR East 1
FKID007012,Break down,public_event,High,Vijayanagara,West of Chord Road
FKID007013,Break down,public_event,High,Vijayanagara,West of Chord Road
FKID007510,Break down,vehicle_breakdown,Low,Yelahanka,Non-corridor
FKID007659,Break down,vehicle_breakdown,High,Byatarayanapura,Mysore Road
FKID007946,Break down,vehicle_breakdown,Low,Wilson Garden,Non-corridor
FKID007046,SRS on flyover private cab off-road towards parle toll traffic one side movement,vehicle_breakdown,High,Peenya,Tumkur Road
FKID003880,horamavu towards [LOCATION],vehicle_breakdown,High,Banaswadi,ORR North 1
FKID005803,Infront of fashion factory bmtc bus ofroad due to air pipe got broken have left side no problem to traffic from roobi junction to [LOCATION] junction sir,vehicle_breakdown,High,Mico Layout,Bannerghata Road
FKID005246,Car off road near aadishwar due to staring lock sir traffic no problem sir,vehicle_breakdown,High,Kamakshipalya,Magadi Road
FKID001959,Heavy vehicle [PERSON] road near balaburi gest house sir,vehicle_breakdown,High,High ground,Bellary Road 1
FKID001250,[PERSON] ನಗರ ಪೊಲೀಸ್ ಠಾಣೆ ಜಂಕ್ಷನ್ ಯಿಂದ ಮೆಕ್ರಿ ಸರ್ಕಲ್ ಕಡೆ ಹೋಗುವ ರಸ್ತೆ ಮಧ್ಯದಲ್ಲಿ ವಾಹನವು ಕೆಟ್ಟು ನಿಂತಿರುತ್ತದೆ ಸರ್ ಸಂಚಾರಕ್ಕೆ ಯಾವುದೇ ತೊಂದರೆ ಇರುವುದಿಲ್ಲ,vehicle_breakdown,High,Sadashivanagar,Bellary Road 1
FKID006416,Fuel drain,vehicle_breakdown,High,Kodigehalli,Bellary Road 1
FKID006771,Fuel drain,vehicle_breakdown,High,Hebbala,Bellary Road 1
FKID001594,brake down,vehicle_breakdown,Low,Wilson Garden,Non-corridor
FKID004079,brake down,vehicle_breakdown,High,Magadi Road,Magadi Road
FKID005610,ಏರ್ ಲಾಕ್ ಹಾಗಿ ಗಾಡಿ ರಸ್ತೆಯ ಒಂದು ಬದಿ ನಿಂತಿದ್ದು ವಾಹನ ಸಂಚಾರಕ್ಕೆ [PERSON] ಇಲ್ಲ,vehicle_breakdown,Low,Jnanabharathi,Non-corridor
FKID008127,Bmtc bus off load no traffic problem,vehicle_breakdown,High,HSR Layout,Hosur Road
FKID003531,off road [LOCATION] iti sir battery problem not started sir,vehicle_breakdown,High,Banaswadi,ORR North 1
FKID005102,Petrol vehicle offload varthur ps towards Varthur clg sir traffic moving sir,vehicle_breakdown,Low,Whitefield,Non-corridor
FKID003448,[LOCATION] school towards SBI Circle Cab offroad due to starting problem sir,vehicle_breakdown,High,Cubbon Park,Mysore Road
FKID007093,On the road sheshamal to lalabhag [LOCATION] near [LOCATION] traffic slow sir,vehicle_breakdown,Low,Basavanagudi,Non-corridor
FKID003728,[PERSON] to wards avalahalli [LOCATION] bus joint wheel cut hagide sir,vehicle_breakdown,Low,No Police Station,Non-corridor
FKID006336,Battery Problem..,vehicle_breakdown,Low,Jnanabharathi,Non-corridor
FKID005294,ITI Govt Hospital Road Towards Hoskote Road Vechile breekdown Slow Movement sir..,vehicle_breakdown,Low,K.R. Pura,Non-corridor
FKID003584,borewell pump vehicle break down due to starting problem,vehicle_breakdown,High,Magadi Road,Magadi Road
FKID005503,KSRTC bus upload near [LOCATION] PS towards Stock 15 traffic no problem sir,vehicle_breakdown,High,Hebbala,Bellary Road 1
FKID001952,this vehicle off road towards [LOCATION] main track on flyover dasanapura traffic normal moving sir,vehicle_breakdown,Low,No Police Station,Non-corridor
FKID000418,ನಮಸ್ತೆ ಸರ್ ವಡ್ಡರಪಾಳ್ಯ ಜಂಕ್ಷನ್ ಟುವರ್ಡ್ ಗೆದ್ದಲಹಳ್ಳಿ ಮಿನಿ ಬಸ್ ಆಫ್ ರೋಡ್ ಆಗಿರುತ್ತದೆ ಸ್ಟಾರ್ಟಿಂಗ್ ಪ್ರಾಬ್ಲಮ್ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸೈಡಲ್ಲಿ ಹಾಕಿಸಿದ್ದೇವೆ ಟ್ರಾಫಿಕ್ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ,vehicle_breakdown,High,Hennuru,Airport New South Road
FKID006449,Bagaluru onflyover to wards city car wheel lock sir traffic normal mument sir,vehicle_breakdown,High,Yelahanka,Bellary Road 2
FKID002699,Bendre junction towards [PERSON] BMTC electric bus did not start sir,vehicle_breakdown,High,Banashankari,ORR West 1
FKID003102,vehicle gear box cut not moved sir..,vehicle_breakdown,Low,Cubbon Park,Non-corridor
FKID002922,"BMTC bus break down before [PERSON], opposite [LOCATION] from syndicate  JN, Normal traffic movement",vehicle_breakdown,Low,Jayanagara,Non-corridor
FKID001621,bus gyare not working sir shivanna circle towards controment,vehicle_breakdown,Low,R.T. Nagar,Non-corridor
FKID007445,Kino junction to [PERSON] circle bmtc bus puncture sir,vehicle_breakdown,Low,Sheshadripuram,Non-corridor
FKID001737,vehicl off road at sarakki incoming side slow movement..off road before 6am sir,vehicle_breakdown,High,K.S. Layout,ORR West 1
FKID007903,Town to NR Junction,vehicle_breakdown,High,Halasuru Gate,Mysore Road
FKID006456,Starting problem sir CQAE gate towards [PERSON] traffic one side moving sir,vehicle_breakdown,High,Yeshwanthpura,ORR North 2
FKID002402,water tanker vehicle off road due to gear lock,vehicle_breakdown,High,Cubbon Park,CBD 2
FKID004814,B o 2 towards old high ground vehicle steering problem and tyre bust traffic normal flowing right side,vehicle_breakdown,High,High ground,Bellary Road 1
FKID003588,starting ಪ್ರಾಬ್ಲಮ್ [PHONE],vehicle_breakdown,Low,Electronic City,Non-corridor
FKID006247,Kodigehalli on flyover towards city sir,vehicle_breakdown,High,Kodigehalli,Bellary Road 1
FKID002458,"ಸರ್ ನಮಸ್ತೆ ಸರ್, ವಾಹನವು ಟಾಟಾ 407 ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ ಮೆಕಾನಿಕ್ ಗೆ ಹೇಳಿರುತ್ತಾರೆ ಸಂಚಾರಕ್ಕೆ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇಲ್ಲ ನಮಸ್ಕಾರ",vehicle_breakdown,Low,K.R. Pura,Non-corridor
FKID006211,"Bmtc bus upload near christ college opposite towards [LOCATION] sir, traffic slow moving sir",vehicle_breakdown,Low,Adugodi,Non-corridor
FKID000245,LGV ವಾಹನವು ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿದ್ದು ಸೂಲ್ಪ ಸಮಯದಲ್ಲಿ ಸರಿ ಮಾಡಿಕೊಂಡು ಹೋಗುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸರ್,vehicle_breakdown,High,Halasuru Gate,Mysore Road
FKID005166,14th main Down ramp to [LOCATION] service road was closed due to BMTCBus offload,vehicle_breakdown,High,HSR Layout,ORR East 1
FKID005081,.... heavy [PERSON] offload varthur bridge towards varthur [PERSON] sir,vehicle_breakdown,Low,Whitefield,Non-corridor
FKID001067,clutch problem,vehicle_breakdown,High,Byatarayanapura,Mysore Road
FKID001075,clutch problem,vehicle_breakdown,High,Byatarayanapura,Mysore Road
FKID001301,clutch problem,vehicle_breakdown,High,Kodigehalli,Bellary Road 1
FKID004277,Clutch problem,vehicle_breakdown,High,R.T. Nagar,Bellary Road 1
FKID006488,Clutch problem,vehicle_breakdown,High,Magadi Road,Magadi Road
FKID006788,Clutch problem,vehicle_breakdown,High,Hebbala,Bellary Road 1
FKID006956,Clutch problem,vehicle_breakdown,High,Banaswadi,Airport New South Road
FKID007097,Clutch problem,vehicle_breakdown,High,Hennuru,Airport New South Road
FKID006400,ವೆಹಿಕಲ್ ಸ್ಲೋ ಮೂಮೆಂಟ್ ಸರ್,vehicle_breakdown,High,Electronic City,Hosur Road
FKID000658,[LOCATION] ಕ್ಕೆ ತೊಂದ್ರೆ ಆಗತಾ ಇದೆ...,vehicle_breakdown,High,Halasuru Gate,Mysore Road
FKID005924,[PERSON] ಜಂಕ್ಷನ್ ಕಡೆ ಹೋಗುವ ರಸ್ತೆ ಯಲ್ಲಿ ಬಿಎಂಟಿಸಿ ಬಸ್ ಅಪ್ಲೋಡ್ ಆಗಿರುತ್ತದೆ ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮೊಮೆಂಟ್ ಇರುತ್ತದೆ ಸರ್,vehicle_breakdown,High,Madiwala,IRR(Thanisandra road)
FKID003240,gangamma circle towards sahitya koota [PERSON] bus  offload,vehicle_breakdown,Low,Jalahalli,Non-corridor
FKID005800,"One goods vehicle off road from [LOCATION] towards Roopen agrahar sir, due to wheel nutbolt cut sir, vehicle is left side parking, traffic normal movement sir, we will remove soon sir,",vehicle_breakdown,High,Madiwala,Hosur Road
FKID001817,ಮೇಡಳ್ಳಿ ಜಂಕ್ಷನ್ ನಿಂದ ಭಟ್ಟರಳ್ಳಿ ಜಂಕ್ಷನ್ ಹೋಗುವ ಕಡೆ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿ ನಿಂತಿದೆ ಸರ್,vehicle_breakdown,Low,K.R. Pura,Non-corridor
FKID003902,[PERSON] ಡೌನ್ ಆಗಿದೆ,vehicle_breakdown,Low,Jnanabharathi,Non-corridor
FKID008020,bmtc bus is breakdown sir,vehicle_breakdown,Low,Upparpet,Non-corridor
FKID000790,Wheel jam,vehicle_breakdown,High,Kodigehalli,Bellary Road 1
FKID001677,wheel jam,vehicle_breakdown,High,Byatarayanapura,West of Chord Road
FKID001753,wheel jam,vehicle_breakdown,High,Yelahanka,Bellary Road 2
FKID002077,wheel jam,vehicle_breakdown,Low,Cubbon Park,Non-corridor
FKID002302,wheel jam,vehicle_breakdown,High,Hebbala,Bellary Road 1
FKID002963,wheel jam,vehicle_breakdown,Low,Halasuru Gate,Non-corridor
FKID003708,wheel jam,vehicle_breakdown,High,Chamarajpet,Mysore Road
FKID005776,Wheel jam,vehicle_breakdown,High,Byatarayanapura,Mysore Road
FKID008074,Wheel jam,vehicle_breakdown,High,Hennuru,Hennur Main Road
FKID008119,Wheel jam,vehicle_breakdown,Low,Jalahalli,Non-corridor
FKID006591,Slow moving,vehicle_breakdown,Low,K.G. Halli,Non-corridor
FKID002207,botle neck towards incoming near goverdhan vechicle punture agide sir.,vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID000697,"ಆರ್ ಪಿ ರೋಡ್ ನಲ್ಲಿ ಔಟ್ ಗೋಯಿಂಗ್ ಸೈಡ್ ರೈಲ್ವೆ [LOCATION] ಬ್ರಿಡ್ಜ್ ಒಂದು ಸಿಮೆಂಟ್ ಮಿಕ್ಸರ್ ಲಾರಿ ಆಫ್ ರೋಡ್ ಆಗಿದ್ದು, ಔಟ್ ಗೋಯಿಂಗ್ ಸಂಚಾರ ನಿಧಾನವಾಗಿ ಇರುತ್ತೆ.",vehicle_breakdown,High,High ground,Bellary Road 1
FKID003563,akme apartment towards iblur,vehicle_breakdown,High,Bellandur,ORR East 1
FKID005339,Traffic no Problems,vehicle_breakdown,High,K.S. Layout,ORR West 1
FKID002485,school bus  puncture,vehicle_breakdown,Low,R.T. Nagar,Non-corridor
FKID008018,ಸಿಲ್ಕ್ ಬೋರ್ಡ್ ಪ್ಲೇಯರ್ ಮೇಲೆ ಔಟ್ ಗೋಯಿಂಗ್ ಸೈಡ್ ಈ ವಾಹನವು ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿ ರುತ್ತದೆ 20 ನಿಮಿಷದಲ್ಲಿ ಕ್ಲಿಯರ್ ಆಗುತ್ತೆ ಸರ್,vehicle_breakdown,High,Madiwala,ORR East 1
FKID004020,gear problem sir,vehicle_breakdown,High,Halasuru Gate,Mysore Road
FKID007590,gear problem sir,vehicle_breakdown,High,Chamarajpet,Mysore Road
FKID003138,ಡೀಸೆಲ್ ಖಾಲಿ ಆಗಿದೆ,vehicle_breakdown,High,Halasur,Old Madras Road
FKID004500,ಬಿಎಂಟಿಸಿ ಬಸ್ ಟೈಯರ್ puncher,vehicle_breakdown,High,R.T. Nagar,Bellary Road 1
FKID006817,"Vacuum pipe cut ಆಗಿದ್ದು, traffic movement ge yavude ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ.",vehicle_breakdown,High,Halasuru Gate,Mysore Road
FKID002034,good afternoon sir veeranapalya towards [LOCATION] heavy truck off road sir starting problem one side traffic is going sir,vehicle_breakdown,High,Hennuru,ORR North 1
FKID001542,10th main towords stock 15,vehicle_breakdown,High,Sadashivanagar,Bellary Road 1
FKID007734,ಸರ್ ನಮಸ್ತೆElcranic city fly over near [LOCATION] station towards cit tyre blast vehicle not moving sir ready for 30 min please note sir,vehicle_breakdown,High,HSR Layout,Hosur Road
FKID001808,vehicle break down [LOCATION] towards hope farm,vehicle_breakdown,Low,Mahadevapura,Non-corridor
FKID000352,Vehicle tyer [PERSON],vehicle_breakdown,High,Banaswadi,ORR North 1
FKID001427,vacim down,vehicle_breakdown,High,Byatarayanapura,Mysore Road
FKID007644,30 mint's will be removed,vehicle_breakdown,High,Sadashivanagar,Bellary Road 1
FKID006044,Starting problem sir near [LOCATION] towards [PERSON] traffic no problem sir,vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID003394,ಲಾರಿ ಹಿಂಬದಿಯ ಎರಡು ಟೈರ್ ಗಳು ಒಡೆದು ಹೋಗಿದ್ದು ವಾಹನವನ್ನು ಖಾಲಿ ಜಾಗದಲ್ಲಿ ಎಡಗಡೆಗೆ ಹಾಕಿಸಿದ್ದೇನೆ ಸರ್ ಆದಷ್ಟು ಬೇಗ ರೆಡಿ ಮಾಡಿಕೊಂಡು ಹೋಗುವುದಾಗಿ ಚಾಲಕ ತಿಳಿಸಿರುತ್ತಾನೆ ಸರ್ 🙏,vehicle_breakdown,Low,Wilson Garden,Non-corridor
FKID003726,vehicle punchar traffic slow movement,vehicle_breakdown,High,High ground,Bellary Road 1
FKID007439,Bmtc bus off road agide Sir,vehicle_breakdown,Low,Jnanabharathi,Non-corridor
FKID001955,vehicle offroad due to starting problem,vehicle_breakdown,Low,High ground,Non-corridor
FKID006739,"Vehicle starting problem, mechanic is on his way",vehicle_breakdown,High,Halasuru Gate,Mysore Road
FKID003872,attur main road bmtc ಗೇರ್ ಪ್ರಾಬ್ಲಮ್ ಸರ್,vehicle_breakdown,Low,Yelahanka,Non-corridor
FKID005902,Goodsauto panchar agide sir,vehicle_breakdown,High,Halasuru Gate,Mysore Road
FKID007071,Lgv vehicle off road at [LOCATION] normal ede sir,vehicle_breakdown,High,Halasur,Old Madras Road
FKID007387,ಮೆಕ್ಯಾನಿಕ್ ಬರುತ್ತಿದ್ದಾರೆ,vehicle_breakdown,High,Shivajinagar,Old Madras Road
FKID004407,Lgv vehicle off road infront of IIM due to starting have left side no problem to traffic from [LOCATION] to hsbc junction sir,vehicle_breakdown,High,Mico Layout,Bannerghata Road
FKID001889,[PERSON] ವಾಹನ ಆಫ್ ರೋಡ ಆಗಿರುತ್ತದೆ ನಿಯರ್ ಶಿವನಂದಿ ಪಾರ್ಟಿ ಹಾಲ್,vehicle_breakdown,High,Kamakshipalya,Magadi Road
FKID002318,"ksrtc bus off road at [LOCATION], due to starting problem, vehicle moving from jaraganahalli towards sarakki incoming side.. exactly near signal... vehicle moment slow",vehicle_breakdown,High,J.P. Nagar,ORR West 1
FKID003115,outgoing side [PERSON] towards stock 15 off road  due to diesel pipe cut,vehicle_breakdown,High,Sadashivanagar,Bellary Road 1
FKID003155,venkatam cafe towards veerannapalya vehicle off road starting problem sir,vehicle_breakdown,High,Kodigehalli,Bellary Road 1
FKID005818,This bus is off road  at saraiki junction towards JP nagar single traffic slow moment sir,vehicle_breakdown,High,K.S. Layout,ORR West 1
FKID004685,Vehicle breakdown due to puncture,vehicle_breakdown,High,Hebbala,Bellary Road 1
FKID005249,School bus offroaded in tavarekere main road,vehicle_breakdown,Low,Mico Layout,Non-corridor
FKID000953,Air leakage,vehicle_breakdown,High,Magadi Road,Magadi Road
FKID005705,ಕಾರ್ತಿಕ್ ನಗರ್ ಜಂಕ್ಷನ್ [LOCATION] ಈ ವಾಹನ ದ ಗೇರ್ ಬಾಕ್ಸ್ ಜಾಮ ಆಗಿರುವುದರಿಂದ್ ವಾಹನು ನೀತಿರುತ್ತದೆ ಸಂಚಾರ ಕ್ಕೆ ಯಾವುದೇ ತೊಂದರೆ ಇಲ್ಲಾ,vehicle_breakdown,High,HAL Old Airport,ORR East 2
FKID006145,Palahalli gate onflyover to wards airport eicher vehicle tyer bust sir traffic normal mument sir,vehicle_breakdown,High,Yelahanka,Bellary Road 2
FKID000757,BMTC bus off road due to clutch problem 5 th  twords 14 th main near 14 main up ramp,vehicle_breakdown,High,HSR Layout,ORR East 1
FKID004054,[PERSON] on flyover towards outgoing side,vehicle_breakdown,High,Peenya,Tumkur Road
FKID006393,Traffic no problem sir side [PERSON],vehicle_breakdown,High,Chamarajpet,Mysore Road
FKID002678,joint rod cut sir [PERSON] ring road CQAE gate towards goraguntepalya traffic one side moving sir,vehicle_breakdown,High,Yeshwanthpura,ORR North 2
FKID007798,Sp road to mps ಪ್ರವೇಟ್ ಎಲೆಕ್ಟ್ರಿಕಲ್ ಬಸ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿದೆ ಮೆಕ್ಯಾನಿಕ್ ಬರ್ತಾ ಇದ್ದಾರೆ 30 ನಿಮಿಷಗಳಾಗುತ್ತೆ ಸರ್. ಮಡಿವಾಳ ಲಿಮಿಟ್ಸ್,vehicle_breakdown,High,Madiwala,Hosur Road
FKID002662,Tin factory towerds kasturinager,vehicle_breakdown,High,Mahadevapura,ORR North 1
FKID007984,"ಸರ್ ಶ್ರೀನಿವಾಗಿಲು ಜಂಕ್ಷನ್ ಬಳಿ ಸದರಿ ಗೂಡ್ಸ್ ವಾಹನ ಪೈಪ್ ಜಾಮಾಗಿದೆ ಎಂದು ಸ್ಟಾಟ್ ಆಗುತ್ತಿರುವುದಿಲ್ಲ. ಗಾಡಿ ರಸ್ತೆ ಸೈಡಲ್ಲಿದ್ದು, ಸಂಚಾರಕ್ಕೆ ಯಾವುದೆ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ, ಸದ್ಯದಲ್ಲಿ ಮ್ಯಾಕಾನಿಕ್ ಬರುತಿದ್ದು, ರಿಪೇರಿ ಮಾಡಿಸಿಕೊಂಡು ಹೋಗುವುದಾಗಿ ವಾಹನ ಚಾಲಕ ತಿಳಿಸಿರುತ್ತಾನೆ ಸರ್.",vehicle_breakdown,High,Ashok Nagar,IRR(Thanisandra road)
FKID005851,Starting problem sir [PERSON] towards SRS junction traffic no problem sir,vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID006758,BMTC Bus offload due to starting problem in H cross towords city traffic one side movement sir,vehicle_breakdown,High,Chikkabanavara,Tumkur Road
FKID006383,Vehicle towing road ckeared sir,vehicle_breakdown,Low,High ground,Non-corridor
FKID007256,Battery was theaft,vehicle_breakdown,Low,V.V.Puram (C.Pet),Non-corridor
FKID005897,School vehicle offroad@ jakkur cross sir,vehicle_breakdown,High,Hebbala,Bellary Road 2
FKID001105,traffic slow movement towards outgoing,vehicle_breakdown,High,Jeevanbheemanagar,Old Madras Road
FKID002634,vvr juntion traffic slow moving,vehicle_breakdown,Low,Bellandur,Non-corridor
FKID007678,Car off raod due to starting problem,vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID008087,Peenya tr ps SRS jn city outgoing KSRTC bus off road traffic one side movement,vehicle_breakdown,High,Peenya,Tumkur Road
FKID004199,Avlahalli upper ramp towards [LOCATION] electric problem,vehicle_breakdown,Low,K.R. Pura,Non-corridor
FKID002203,vehicle front wheel puncture,vehicle_breakdown,High,Kamakshipalya,Magadi Road
FKID006932,Towards gottigere from [PERSON].,vehicle_breakdown,High,Hulimavu,Bannerghata Road
FKID003444,"k08 towards [LOCATION], one side movement traffic normal",vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID005029,BBMP vehicle starting problem sir💐,vehicle_breakdown,High,Sadashivanagar,Bellary Road 1
FKID002577,ಬಳ್ಳಾರಿ ರಸ್ತೆ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆಗೆ ಹೋಗುವ ರಸ್ತೆ,vehicle_breakdown,High,Kodigehalli,Bellary Road 1
FKID004521,Diesel pipe filter damage aagi bus off road agide at sunkadakatte bus stop incoming side sir,vehicle_breakdown,High,Kamakshipalya,Magadi Road
FKID003063,vehicle starting problem at sunkadakatte bus stop out going side sir,vehicle_breakdown,High,Kamakshipalya,Magadi Road
FKID001153,ಈ ವಾಹನ ಸಿಗ್ನಲ್ ಲೈಟ್ ಜಂಕ್ಷನ್ ಹತ್ತಿರ ಗೇರ್ ಬಾಕ್ಸ್ ಡೌನ್ ಆಗಿದ್ದು ರಸ್ತೆಯ ಮಧ್ಯ ನಿಂತಿದ್ದು  ಸದರಿ ವಾಹನವನ್ನು ರಸ್ತೆಯ ಎಡ ಬದಿಯಲ್ಲಿ ನಿಲ್ಲಿಸಿರುತ್ತಾರೆ [LOCATION] ನಿದಾನ ಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್,vehicle_breakdown,High,Ashok Nagar,Mysore Road
FKID000985,gurrappan palya to bismilla junction bmtc electic vehicle offroaded in front of jalbhavan,vehicle_breakdown,High,Jayanagara,Bannerghata Road
FKID001149,"BMTC Bus off road, [LOCATION], opp: premier sanjeevini hospital, out going sir, normal traffic  sir",vehicle_breakdown,High,Peenya,Tumkur Road
FKID004833,ಜಾಯಿಂಟ್ ಕಟ್ ಆಗಿದ್ದು ಇಂಜಿನ್ ಆಯಿಲ್ ಸೋರಿರುತ್ತದೆ,vehicle_breakdown,Low,Rajajinagar,Non-corridor
FKID005023,Palahalli gate onflyover to wards airport hgv vehicle starting problem sir traffic normal mument sir,vehicle_breakdown,High,Yelahanka,Bellary Road 2
FKID005257,Vehicle break down near [PERSON] bridge opp HP petrol pump. Traffic normal movement,vehicle_breakdown,Low,Whitefield,Non-corridor
FKID004064,"cuavery junction towards mekhri circle bus off road due to clutch problem, traffic movement very slow",vehicle_breakdown,High,Sadashivanagar,Bellary Road 1
FKID007163,Bus offroad near head quater jn infontry rd,vehicle_breakdown,High,Shivajinagar,CBD 2
