id,description,event_cause,priority,police_station,corridor
FKID000031,GD mara to [PERSON],vehicle_breakdown,High,Mico Layout,Bannerghata Road
FKID000032,Near hsbc junction lgv vehicle off road due to clutch plate got broken have left side no problem to traffic from hsbc to arakere junction sir,vehicle_breakdown,High,J.P. Nagar,Bannerghata Road
FKID000034,BWSSB AND KRIDE WORK AT [LOCATION] hebbal circle to bhadrapp layout sir,congestion,High,Kodigehalli,ORR North 2
FKID000036,traffic normal sir.,vehicle_breakdown,High,Magadi Road,Magadi Road
FKID000038,One garage vehical stopped on road due to break down,vehicle_breakdown,High,Mico Layout,Bannerghata Road
FKID000039,Pc18977,pot_holes,Low,Jeevanbheemanagar,
FKID000040,[LOCATION] works going on sir,construction,High,HAL Old Airport,ORR East 1
FKID000041,Near cm office [PERSON] towards B02 junction sir,others,High,High ground,Bellary Road 1
FKID000042,Biriyani zone [PERSON] on [LOCATION] off road,vehicle_breakdown,High,HAL Old Airport,ORR East 1
FKID000044,BMTC off road on 14th cross towards NTTF traffic one side movement,vehicle_breakdown,Low,Peenya,Non-corridor
FKID000046,Cmti jn incoming [LOCATION] LGv ವೆಹಿಕಲ್ ಕಮಾನ್ ಪಾಟ್ ಕಟ್ ಆಗಿದೆ ಸರ್,vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID000047,mei signal off due to power Problem,others,High,Yeshwanthpura,Tumkur Road
FKID000049,BMTC buss off -road due to break down..fire station jn towards [LOCATION],vehicle_breakdown,High,Bellandur,ORR East 1
FKID000052,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,construction,High,HAL Old Airport,ORR East 2
FKID000053,"LRDE ಜಂಕ್ಷನ್ ಯಿಂದ ಬಸವೇಶ್ವರ ಜಂಕ್ಷನ್ ಕಡೆ ಬರುವ ಮದ್ಯದಲ್ಲಿ ಕಾರು ಪಂಚರ್ ಆಗಿದ್ದು,ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮುಮೆಂಟ್ ಇರುತ್ತದೆ ಸರ್",vehicle_breakdown,High,High ground,Bellary Road 1
FKID000056,HGV breakdown hagide sir,vehicle_breakdown,Low,Devanahalli Airport,Non-corridor
FKID000057,Gear jam not moving traffic slow moving,vehicle_breakdown,Low,Mahadevapura,Non-corridor
FKID000061,Kadubisanahalli toward devarabisnahalli car starting problem,vehicle_breakdown,High,HAL Old Airport,ORR East 1
FKID000063,ಬಿಎಂಟಿಸಿ ಬಸ್ ಗೇರ್ ರಾಡ್ ಕಟ್ ಆಗಿ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,vehicle_breakdown,Low,Jnanabharathi,Non-corridor
FKID000064,BMTC off road on 14th cross towards [LOCATION] traffic normal sir,vehicle_breakdown,Low,Peenya,Non-corridor
FKID000065,ಮ್ಯಾನ್ ಹೋಲ್ ಕವರ್ ಮುರಿದಿರುತ್ತದೆ ಸರ್,pot_holes,High,Shivajinagar,CBD 1
FKID000066,[LOCATION] sir 9 th main 46 crs trdd BSNL office tree fallen on main road closed,tree_fall,Low,J.P. Nagar,Non-corridor
FKID000067,Potholes,pot_holes,High,Hennuru,
FKID000069,Vehicle movment very slow,vehicle_breakdown,High,Vijayanagara,West of Chord Road
FKID000071,"[LOCATION] road jn towards mill road jn this vehicle Back wheel puncher, traffic little bit slow moving sir",vehicle_breakdown,Low,Chamarajpet,Non-corridor
FKID000073,Traffic no problem,others,Low,Byatarayanapura,Non-corridor
FKID000074,LGV Vehical Tyre blast national college metro near towords Mss junction traffic One side moving Sir,vehicle_breakdown,Low,V.V.Puram (C.Pet),Non-corridor
FKID000075,Traffic one side moment...,vehicle_breakdown,Low,Rajajinagar,Non-corridor
FKID000076,[LOCATION] sir 47 th cross road infront of milana hospital big pathole sir,pot_holes,Low,J.P. Nagar,Non-corridor
FKID000079,devanahalli [PERSON] cross towards [LOCATION] break down traffic no problem sir,vehicle_breakdown,Low,Devanahalli Airport,Non-corridor
FKID000080,bmtc bus offroad in front of adishakti temple,others,Low,Jnanabharathi,Non-corridor
FKID000081,ರಸ್ತೆ ಮಧ್ಯದಲ್ಲೇ ಮರ ಬಿದ್ದಿರುವುದರಿಂದ ಸುಗಮ ಸಂಚಾರಕ್ಕೆ ಸ್ವಲ್ಪ ನಿಧಾನ ಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ,tree_fall,Low,Pulikeshinagar(F.Town),Non-corridor
FKID000082,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,construction,High,HAL Old Airport,ORR East 2
FKID000083,electrical pol road [PERSON],others,High,Chamarajpet,Mysore Road
FKID000084,traffic slow moment,others,Low,Byatarayanapura,Non-corridor
FKID000085,potholes,pot_holes,Low,Adugodi,Non-corridor
FKID000086,Lgv breake down veersandar to [LOCATION] near ec 1,vehicle_breakdown,Low,Electronic City,Non-corridor
FKID000087,ಡಿಸೋಜ ಟುವರ್ಡ್ಸ್ ಮದರ್ ತೆರೇಸಾ,vehicle_breakdown,High,Ashok Nagar,Mysore Road
FKID000088,front wheel tyre burst,vehicle_breakdown,High,Banaswadi,ORR North 1
FKID000089,ಡೀಸೆಲ್ ಖಾಲಿ ಆಗಿರುತ್ತೆ ಸರ್ ವಿಹಿಕಲ್ ಸ್ಲೋ ಮೂಮೆಂಟ್ ಸರ್,vehicle_breakdown,Low,Electronic City,Non-corridor
FKID000090,Sjp road chebar open gai de trfice no problem madam,water_logging,High,Halasuru Gate,Mysore Road
FKID000091,Towards hunasemara sir,vehicle_breakdown,High,Magadi Road,Magadi Road
FKID000093,Nayadahallie towards BHEL incoming side traffic no problem,vehicle_breakdown,High,Byatarayanapura,Mysore Road
FKID000094,Dipo NO:13 CALL Me @ [PHONE],vehicle_breakdown,High,Bellandur,ORR East 1
FKID000095,tv tower tree falling,tree_fall,Low,R.T. Nagar,Non-corridor
FKID000096,tree fall,tree_fall,Low,Malleshwaram,Non-corridor
FKID000097,ಮಾಪನಸೌಧದ ಹತ್ತಿರ ಮರ ಅದ ಕೊಂಬೆ ಮುರಿದು ಬಿದ್ದಿರುತ್ತದೆ,others,High,Cubbon Park,CBD 2
FKID000099,tree fall,tree_fall,Low,Sadashivanagar,Non-corridor
FKID000100,electrical pol and tree fall on road sir,tree_fall,High,Chamarajpet,Mysore Road
FKID000101,Towards airport,vehicle_breakdown,High,Hebbala,Bellary Road 1
FKID000102,Bsk  bus stand towards sarakki market,vehicle_breakdown,Low,Jayanagara,Non-corridor
FKID000103,path hole near [LOCATION] bg road abstraction to traffic movement pls do the needful,pot_holes,High,J.P. Nagar,Bannerghata Road
FKID000104,pathole abstraction to traffic movement pls do the needful sir,pot_holes,High,J.P. Nagar,Bannerghata Road
FKID000106,Vehicle slow movement,pot_holes,High,J.P. Nagar,Bannerghata Road
FKID000107,Vehicle off road @ [PERSON] due to clutch problem,vehicle_breakdown,High,Banashankari,ORR West 1
FKID000108,No problem,others,Low,Ashok Nagar,Non-corridor
FKID000110,tree fall,tree_fall,Low,Chamarajpet,Non-corridor
FKID000112,Service road,pot_holes,High,Madiwala,ORR East 1
FKID000113,keb cable work @anand [PERSON],construction,High,Hebbala,Bellary Road 1
FKID000115,"when raining road is full block, required BBMP help",water_logging,High,Halasur,Old Madras Road
FKID000117,vehicle air drop,vehicle_breakdown,High,Banaswadi,ORR North 1
FKID000118,BWSSB AND KRIDE WORK AT [LOCATION] hebbal circle to bhadrapp layout sir traffic slow moving sir,congestion,High,Kodigehalli,ORR North 2
FKID000119,BMTC bus offroad Near roopena agrahara bus stop  towards silk board sir traffic slow movment ide sir,vehicle_breakdown,High,Madiwala,Hosur Road
FKID000120,Tyre  blast agi vehicle off road agide towards ashraya incoming side sir,vehicle_breakdown,High,Kamakshipalya,Magadi Road
FKID000121,Mattikere cross towards k08 canter offroad agide sir [PERSON] problem agide one side traffic moment hogtide sir,vehicle_breakdown,High,Sadashivanagar,Tumkur Road
FKID000122,bbmp tree cut maduvaru bandiruttare sir.,tree_fall,Low,Basavanagudi,Non-corridor
FKID000123,heat,vehicle_breakdown,High,Chamarajpet,Mysore Road
FKID000124,ರೂಪೇನ ಅಗ್ರಹಾರ towards ಮಡಿವಾಳ ಪೊಲೀಸ್ ಠಾಣಾ ಜಂಕ್ಷನ್ ಸಿಲ್ಕ್ ಬೋರ್ಡ್ ಫ್ಲೈ ಓವರ್ ಮೇಲೆ ಬಿಎಂಟಿಸಿ ಬಸ್ ಏರ್ ಲಾಕ್ ಆಗಿ ವೀಲ್ ಜಾಮ್ ಆಗಿ ಆಫ್ ರೋಡ್ ಆಗಿರುತ್ತದೆ ಸೈಡಿಗೆ ಹಾಕಿಸಲಾಗಿದ್ದು ಟ್ರಾಫಿಕ್ ತೊಂದರೆ ಇರುವುದಿಲ್ಲ ಮೆಕ್ಯಾನಿಕ್ ಬರುತ್ತಿದ್ದು ಬೇಗನೆ ರಿಮೋ ಮಾಡಿಸುತ್ತೇವೆ ಸಾರ್,vehicle_breakdown,High,Madiwala,Hosur Road
FKID000125,"Manjunathanagara to widea upperramp nhai road work progress ,vehicle oneside movement ,towards city",construction,Low,Chikkabanavara,Non-corridor
FKID000126,[PERSON] towards [LOCATION],accident,Low,Electronic City,Non-corridor
FKID000128,Lorry off road near [LOCATION] traffic no problem,vehicle_breakdown,High,Mico Layout,Bannerghata Road
FKID000129,Car wire problem,others,Low,Jnanabharathi,Non-corridor
FKID000130,Pathole on [LOCATION],pot_holes,Low,Whitefield,
FKID000131,[LOCATION] onflyover to wards airport hgv lary tyer bust sir,vehicle_breakdown,High,Yelahanka,Bellary Road 2
FKID000132,Brekdown traffick slov momnet,vehicle_breakdown,High,Kamakshipalya,Magadi Road
FKID000134,ಅಯ್ಯಪ್ಪ ಜಂಕ್ಷನ್ ಇಂದ ಹೋಗುವ ಮಾರ್ಗ ಮಧ್ಯೆ ಕಸದ ಲಾರಿ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ ಸರ್,vehicle_breakdown,High,Madiwala,Hosur Road
FKID000135,Petrol nil,others,High,Kodigehalli,ORR North 2
FKID000136,Vehicle side hakidini,vehicle_breakdown,High,Kodigehalli,Bellary Road 1
FKID000137,Vehicle Off Road Technical Issues Traffic No Problem,vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID000138,Path holes traffic slow movement sir,pot_holes,Low,K.R. Pura,Non-corridor
FKID000139,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,construction,High,HAL Old Airport,ORR East 2
FKID000140,satarting problem,vehicle_breakdown,Low,Halasuru Gate,Non-corridor
FKID000141,opened drain grate at  Chandrika junction towards lrde junction.,others,Low,Cubbon Park,Non-corridor
FKID000142,panathur towards doddakannelli road bad condition  consider bbmp informed,water_logging,High,HAL Old Airport,ORR East 1
FKID000143,bmtc bus breck down startig agatilla sir,vehicle_breakdown,High,Halasuru Gate,Mysore Road
FKID000144,tree fall,tree_fall,High,Chamarajpet,Mysore Road
FKID000145,Trafic slow,road_conditions,High,K.S. Layout,ORR West 1
FKID000147,BWSsB working progress,road_conditions,High,Banashankari,ORR West 1
FKID000148,Traffic Slow,road_conditions,High,Banashankari,ORR West 1
FKID000150,Traffic no problem,vehicle_breakdown,High,Byatarayanapura,Mysore Road
FKID000151,ಮರ ಬಿದ್ದು ರೋಡ್ ಕ್ಲೋಸ್ ಆಗಿದೆ sir,tree_fall,Low,Jayanagara,Non-corridor
FKID000152,Lgv pickup vehicle Axel ಕಟ್ಟಾಗಿರುತ್ತದೆ ಸಂಚಾರಕ್ಕೆ ಸ್ವಲ್ಪ ದಟ್ಟಣೆ ಇರುತ್ತದೆ ಅರ್ದ ಗಂಟೆಯಲ್ಲಿ ಆಕ್ಸೆಲ್ ತಂದು ಹಾಕುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸರ್,vehicle_breakdown,High,HAL Old Airport,ORR East 1
FKID000153,[LOCATION] working,road_conditions,High,Banashankari,ORR West 1
FKID000154,BWSSB work in progress,road_conditions,High,Banashankari,ORR West 1
FKID000155,ವೀಲ್ ಜಾಮ್ ಆಗಿರುತ್ತದೆ ಸರ್,vehicle_breakdown,Low,Halasur,Non-corridor
FKID000156,Vehicle Back Side Wheel Puncher. [PERSON] Smoothly No Problem,vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID000157,ಹೊಸ ರೋಡ್ ಸಿಗ್ನಲ್ ಸರ್ ಟೂ ವರ್ಡ್ಸ್ ಹೊಸೂರ ಸ್ಟಾರ್ಟೆರ್ ಪ್ರಾಬ್ಲಮ್ ವೀಲ್ ಜಾಮ್ ಸರ್,vehicle_breakdown,High,Electronic City,Hosur Road
FKID000158,Off road bmtc bus,construction,High,Cubbon Park,Old Madras Road
FKID000159,[LOCATION] downramp to agar water logging traffic slow moving,water_logging,High,Bellandur,ORR East 1
FKID000160,[PERSON] circel down ramp towards old [PERSON] sir,vehicle_breakdown,Low,High ground,Non-corridor
FKID000161,30 minutes clear bmtc bus air pipe cut agide,others,Low,Jnanabharathi,Non-corridor
FKID000162,Vehicle starting problem,others,High,Byatarayanapura,Mysore Road
FKID000163,tree fall Dinnuru main rd Towards pushpanjali,tree_fall,Low,R.T. Nagar,Non-corridor
FKID000164,3 feet width 1 foot deep,pot_holes,Low,Pulikeshinagar(F.Town),
FKID000165,ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ.,vehicle_breakdown,Low,Rajajinagar,Non-corridor
FKID000166,"ನಮಸ್ತೆ ಸರ್, ಟೊಯೋಟಾ ಶೋರೂಮ್ ಹತ್ತಿರ ಟುವರ್ಡ್ಸ್ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆ ರೋಡ್  ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರಿಂದ ಟ್ರಾಫಿಕ್ ಮೂಮೆಂಟ್ಸ್ ಸ್ಲೋ  ಆಗಿರುತ್ತದೆ",construction,High,Chikkajala,Bellary Road 2
FKID000168,[LOCATION] main road [LOCATION] potholes sir,pot_holes,Low,Yelahanka,Non-corridor
FKID000169,keb working potholes filling 30minites roads free,pot_holes,High,Kamakshipalya,Magadi Road
FKID000170,ಅಗರ ಬ್ರಿಡ್ಜ್ ಮೇಲೆ ಟಾಟಾ ಪಿಕಪ್ ವಾಹನ ಎಕ್ಸೆಲ್ ಕಟ್ಟಾಗಿ ನಿಂತಿದ್ದು ಇಬ್ಬೂರು ಕಡೆಗೆ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿ ಸಂಚಾರ ಇರುತ್ತದೆ ಸರ್,vehicle_breakdown,High,HAL Old Airport,ORR East 1
FKID000171,Starting problem,vehicle_breakdown,Low,Jnanabharathi,Non-corridor
FKID000172,traffic normal sir,vehicle_breakdown,High,Magadi Road,Magadi Road
FKID000173,"Good afternoon sir, BMTC bus Excel blade cut [PERSON],mechanic bandidare sir control room ge tiliside, Astram nalli haakide sir traffic slow mument ede sir",vehicle_breakdown,High,Chamarajpet,Mysore Road
FKID000174,[LOCATION] sir 32 nd main 5 th cross 1 st phase jp nagar tree fallen on road side,tree_fall,Low,J.P. Nagar,Non-corridor
FKID000175,Agar to ibbluru junction cluch problem traffic slow moving sir,vehicle_breakdown,High,Bellandur,ORR East 1
FKID000176,[PERSON],vehicle_breakdown,High,Peenya,Tumkur Road
FKID000177,starting orobleum,vehicle_breakdown,High,Chamarajpet,Mysore Road
FKID000178,BBMP lorry break down sir traffic normal moving sir,vehicle_breakdown,High,HSR Layout,Hosur Road
FKID000179,"[LOCATION] lorry Break down, traffic normal moving sir",vehicle_breakdown,High,HSR Layout,Hosur Road
FKID000180,ape auto wheel breakdown near [LOCATION],vehicle_breakdown,Low,Sheshadripuram,Non-corridor
FKID000181,Peenya NTTF jn near Indian petrol bunk off road traffic one side movement,vehicle_breakdown,Low,Peenya,Non-corridor
FKID000182,[PERSON] lorry break down sir traffic normal moving,vehicle_breakdown,High,HSR Layout,Hosur Road
FKID000183,BMTC volvo bus off road due to wheel jam near lumbini garden towards veeranapalya sir,vehicle_breakdown,High,Hebbala,ORR North 1
FKID000184,tyre puncture,vehicle_breakdown,High,Sadashivanagar,Bellary Road 1
FKID000185,10minutes it will be cleared sir,vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID000187,traffic slow,vehicle_breakdown,Low,R.T. Nagar,Non-corridor
FKID000188,Private Bus Cluch fail ..vehicle stopped in side Road  ..traffic moving side road,vehicle_breakdown,High,High ground,Bellary Road 1
FKID000191,Palahalli gate onflyover to wards airport BBMP lary tyer bust sir,vehicle_breakdown,High,Yelahanka,Bellary Road 2
FKID000192,k ride work,construction,Low,Chikkabanavara,Non-corridor
FKID000193,"The manhole cover has collapsed at [LOCATION], and sewage water is overflowing onto the road.",road_conditions,High,Shivajinagar,CBD 2
FKID000194,[PERSON],vehicle_breakdown,High,Magadi Road,West of Chord Road
FKID000195,"The manhole cover has collapsed at [LOCATION], and sewage water is overflowing onto the road.",road_conditions,High,Shivajinagar,CBD 2
FKID000196,"Peenya flyover near widia upper ramp incoming lgv off road due to wheel jam sir, vehicles one side moving.",vehicle_breakdown,Low,Chikkabanavara,Non-corridor
FKID000197,Wheel Puncher..,vehicle_breakdown,High,Kamakshipalya,Magadi Road
FKID000198,Air filter black...,vehicle_breakdown,Low,Mico Layout,Non-corridor
FKID000199,Road work,construction,High,Chikkajala,Bellary Road 2
FKID000200,Sensor problem off road sir,vehicle_breakdown,High,Byatarayanapura,West of Chord Road
FKID000201,"The manhole cover has collapsed at [LOCATION], and sewage water is overflowing onto the road.""",road_conditions,High,Cubbon Park,CBD 2
FKID000202,BMTS bus offload in gottigere bus stop.starting problam,others,High,Hulimavu,Bannerghata Road
FKID000203,Vaccum problem,vehicle_breakdown,Low,Wilson Garden,Non-corridor
FKID000204,[LOCATION] circle on flyover towards city lgv off road due to starting problem sir traffic one side moving sir,vehicle_breakdown,High,Peenya,Tumkur Road
FKID000206,Vehicle breakdown at old airport road opp [PERSON] hotel,vehicle_breakdown,High,Jeevanbheemanagar,Old Airport Road
FKID000207,BWSSB AND KRIDE WORK AT [LOCATION] to bhadrapp layout sir traffic slow moving sir,congestion,High,Kodigehalli,ORR North 2
FKID000209,"Sumanahalli flyover towards srigandkavalu, back tyre burst sir",others,High,Kamakshipalya,Magadi Road
FKID000210,"On Sumanahalli flyover, malagala towards laggeri",vehicle_breakdown,High,Kamakshipalya,Magadi Road
FKID000212,normal traffic moving,vehicle_breakdown,Low,Pulikeshinagar(F.Town),Non-corridor
FKID000213,PG halli  service road incoming,vehicle_breakdown,High,Sadashivanagar,Bellary Road 1
FKID000214,Traffic no problem sir,vehicle_breakdown,High,Electronic City,Hosur Road
FKID000215,BBMp Manhole Problem,pot_holes,Low,Shivajinagar,Non-corridor
FKID000216,"ನಮಸ್ತೆ ಸರ್, ಹೆಣ್ಣೂರ್ ಬಾಗ್ಲೂರ್ ಮುಖ್ಯ ರಸ್ತೆ ಗೆದ್ದಲಹಳ್ಳಿ ಸಿಮೆಂಟ್ ರಸ್ತೆ ಮಾಡುತ್ತಿರುವುದರಿಂದ ವಡ್ದರ್ಪಾಳ್ಯ ಕಡೆಯಿಂದ ಗೆದ್ದಲಹಳ್ಳಿ ಹೋಗುವ ಕಡೆಗೆ ನಿಧಾನಗತಿಯಲ್ಲಿರುತ್ತದೆ ಸಂಚಾರ ನಮಸ್ತೆ ಸರ್",construction,Low,Hennuru,Non-corridor
FKID000217,Bolt cut,vehicle_breakdown,High,Byatarayanapura,Mysore Road
FKID000218,vehicle starting problem sir,others,Low,Chamarajpet,Non-corridor
FKID000219,wheel jaam,vehicle_breakdown,Low,Sheshadripuram,Non-corridor
FKID000220,Road maintenance vehicle parking sir,construction,Low,No Police Station,Non-corridor
FKID000221,BWSSB AND KRIDE WORK AT [LOCATION] to bhadrapp layout sir traffic slow moving sir,congestion,High,Kodigehalli,ORR North 2
FKID000222,Potholes,pot_holes,Low,Hulimavu,Non-corridor
FKID000223,Potholes,pot_holes,Low,Hulimavu,Non-corridor
FKID000224,Private bus offroaded on ec flyover inbetween gb palya towords Hongsandra metro staion towords bommanahalli traffic movement slow ide sir,vehicle_breakdown,High,Madiwala,Hosur Road
FKID000225,21 towards trinity circle,vehicle_breakdown,High,Halasur,Old Madras Road
FKID000226,bmtc bus is stucked at service road,others,High,K.G. Halli,Hennur Main Road
FKID000227,bad road,pot_holes,Low,K.S. Layout,Non-corridor
FKID000228,50feet road [LOCATION],vehicle_breakdown,Low,Basavanagudi,Non-corridor
FKID000229,ರಸ್ತೆ ಕಾಮಗಾರಿ ಸಲುವಾಗಿ ಮಾರ್ಕೆಟ್ ಸರ್ಕಲ ಕಡೆ ಹೋಗುವ flyover ಮುಚ್ಚಲಾಗಿರುತ್ತದೆ,construction,High,City Market,Mysore Road
FKID000230,break down,vehicle_breakdown,Low,High ground,Non-corridor
FKID000231,[PERSON] tr ps itpl main road,vehicle_breakdown,Low,Mahadevapura,Non-corridor
FKID000232,Joint cut agidhe,vehicle_breakdown,High,Byatarayanapura,ORR West 1
FKID000233,BBMP vehicle offroad@ palanahalli [LOCATION] towards airport sir,vehicle_breakdown,High,Yelahanka,Bellary Road 2
FKID000234,There is a bit of traffic congestion.,vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID000235,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,construction,High,HAL Old Airport,ORR East 2
FKID000236,bad road,pot_holes,Low,K.S. Layout,Non-corridor
FKID000238,Potholes huge...,pot_holes,Low,Ashok Nagar,Non-corridor
FKID000239,Huge pot Holes,pot_holes,Low,Ashok Nagar,Non-corridor
FKID000240,Huge potholes n uneven road,pot_holes,Low,Adugodi,Non-corridor
FKID000241,LGV ವಾಹನದ ಗಲಿ ಪಂಚರಾಗಿದ್ದು ಅದನ್ನು ಸೂಲ್ಪ ಸಮಯದಲ್ಲಿ ಬದಲಾವಣೆ ಮಾಡಿಕೊಂಡು ಹೋಗುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸರ್,vip_movement,High,Halasuru Gate,Mysore Road
FKID000242,Potholes,pot_holes,Low,Banaswadi,Non-corridor
FKID000244,Heavy rain Tree Fall Sir,tree_fall,Low,Electronic City,Non-corridor
FKID000245,LGV ವಾಹನವು ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿದ್ದು ಸೂಲ್ಪ ಸಮಯದಲ್ಲಿ ಸರಿ ಮಾಡಿಕೊಂಡು ಹೋಗುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸರ್,vehicle_breakdown,High,Halasuru Gate,Mysore Road
FKID000246,Heavy rain Tree Fall Sir,tree_fall,Low,Electronic City,Non-corridor
FKID000247,KRIDE WORK AT [LOCATION] to bhadrapp layout sir traffic slow moving sir,congestion,High,Kodigehalli,ORR North 2
FKID000248,Excalator connection breakup,vehicle_breakdown,High,Yeshwanthpura,Tumkur Road
FKID000250,City incoming side BHEL 2nd gate opposite mahindra showroom slow moving traffic,vehicle_breakdown,High,Byatarayanapura,Mysore Road
FKID000251,Gear problem [PERSON],vehicle_breakdown,Low,Electronic City,Non-corridor
FKID000252,Lorry Off road towards city main track due to giant problem traffic a normal moving sir,vehicle_breakdown,Low,No Police Station,Non-corridor
FKID000253,Towards Mysore,construction,Low,Kengeri,Non-corridor
FKID000254,peenya flyover incoming car off road due to starting problem at peenya industry [LOCATION] station on flyover vehicles are one side moving towards goragontepalya.,vehicle_breakdown,High,Peenya,Tumkur Road
FKID000256,ನಮಸ್ಕಾರ ಮೇಡಂ,vehicle_breakdown,High,HAL Old Airport,ORR East 1
FKID000257,ವಟೆರಾ ಜಂಕ್ಷನ್ ಹತ್ತಿರ ಮರ ಬಿದ್ದಿದ್ದು ಒಂದು ಲೈನ್ ನಲ್ಲಿ ವಾಹನಗಳ ಸಂಚಾರ ಇರುತ್ತದೆ ಸರ್,tree_fall,Low,Electronic City,Non-corridor
FKID000259,Signal problem sir,congestion,High,Kamakshipalya,Magadi Road
FKID000260,ಸದರಿ ವಹಿಕಲ್ ರಸ್ತೆಯಲ್ಲಿ ಬಿಟ್ಟು ಡ್ರೈವರ್ ವಾಹನ ಬಿಟ್ಟು ಹೋಗಿರಿತ್ತಾನೆ ಸರ್.,others,Low,Sadashivanagar,Non-corridor
